BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_500-3647-002,-,500-3647-002,-,1,0,VirtualProduct_500-3647-002_A1,-,-,1,-,-,-,-
BOM_500-3647-003,-,500-3647-003,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-003,-,500-3647-003,-,1,0,VirtualProduct_500-3647-003_A1,-,-,1,-,-,-,-
BOM_500-3647-005,-,500-3647-005,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-005,-,500-3647-005,-,1,0,VirtualProduct_500-3647-005_A1,-,-,1,-,-,-,-
BOM_500-3647-007,-,500-3647-007,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-007,-,500-3647-007,-,1,0,VirtualProduct_500-3647-007_A1,-,-,1,-,-,-,-
BOM_500-3647-008,-,500-3647-008,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-008,-,500-3647-008,-,1,0,VirtualProduct_500-3647-008_A1,-,-,1,-,-,-,-
BOM_500-3647-010,-,500-3647-010,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-010,-,500-3647-010,-,1,0,VirtualProduct_500-3647-010_A1,-,-,1,-,-,-,-
BOM_500-3647-012,-,500-3647-012,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-012,-,500-3647-012,-,1,0,VirtualProduct_500-3647-012_A1,-,-,1,-,-,-,-
BOM_500-3647-015,-,500-3647-015,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-015,-,500-3647-015,-,1,0,VirtualProduct_500-3647-015_A1,-,-,1,-,-,-,-
BOM_500-3647-020,-,500-3647-020,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-020,-,500-3647-020,-,1,0,VirtualProduct_500-3647-020_A1,-,-,1,-,-,-,-
BOM_500-3647-025,-,500-3647-025,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-025,-,500-3647-025,-,1,0,VirtualProduct_500-3647-025_A1,-,-,1,-,-,-,-
BOM_500-3647-030,-,500-3647-030,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-030,-,500-3647-030,-,1,0,VirtualProduct_500-3647-030_A1,-,-,1,-,-,-,-
BOM_500-3647-0P5,-,500-3647-0P5,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-0P5,-,500-3647-0P5,-,1,0,VirtualProduct_500-3647-0P5_A1,-,-,1,-,-,-,-
BOM_500-3659,-,500-3659,-,1,0,502-1696,-,-,1,-,-,-,-
BOM_500-3662,-,500-3662,-,1,0,502-1713,-,-,1,-,-,-,-
BOM_500-3664,-,500-3664,-,1,0,VirtualProduct_500-3664_A1,-,-,1,-,-,-,-
BOM_500-3665,-,500-3665,-,1,0,502-1547,-,-,1,-,-,-,-
BOM_500-3672-003,-,500-3672-003,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3672-003,-,500-3672-003,-,1,0,VirtualProduct_500-3672-003_A1,-,-,1,-,-,-,-
BOM_500-3672-007,-,500-3672-007,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
