Customer_ID,CustomerName,PRODUCT_ID,IndustrialStandard,PO_Delivery_Date,PO_Quantity,Quantity,DATE_ID_SHIPPED
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,35,4/26/2024,35,5/9/2024
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,29,4/26/2024,29,5/24/2024
200643,Flextronics International  Europe B. V.,500-5391-020,TF-FC020-NC4,21,4/30/2024,21,5/9/2024
200643,Flextronics International  Europe B. V.,500-5703,TR-FC85G-NCI,98,6/7/2024,98,5/13/2024
200643,Flextronics International  Europe B. V.,500-5703,TR-FC85G-NCI,65,6/14/2024,65,6/21/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,160,4/18/2024,160,4/25/2024
200643,Flextronics International  Europe B. V.,500-5391-005,TF-FC005-NC4,331,5/10/2024,331,5/24/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/28/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/28/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,120,6/14/2024,120,6/28/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,200,6/14/2024,200,6/28/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,570,6/21/2024,240,6/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,570,6/21/2024,90,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/14/2024,80,6/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/14/2024,80,6/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,60,6/14/2024,60,6/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-002,TF-FC002-NC4,80,7/12/2024,80,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-002,TF-FC002-NC4,240,7/12/2024,240,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-002,TF-FC002-NC4,80,7/12/2024,80,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-002,TF-FC002-NC4,85,7/12/2024,85,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/31/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/31/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/21/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/21/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/7/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/7/2024,40,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,80,6/7/2024,80,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-025,TF-FC025-NC4,30,5/31/2024,30,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-025,TF-FC025-NC4,30,6/14/2024,30,6/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-025,TF-FC025-NC4,30,6/21/2024,30,6/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-025,TF-FC025-NC4,30,6/21/2024,30,6/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-025,TF-FC025-NC4,30,6/21/2024,30,7/5/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,120,6/28/2024,120,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/28/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/28/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/28/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,7/5/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,7/5/2024,80,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,7/5/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,120,6/21/2024,120,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,200,6/21/2024,200,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/21/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/21/2024,40,7/12/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,6/21/2024,80,7/12/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,822,6/7/2024,522,6/9/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,822,6/7/2024,200,5/29/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,822,6/7/2024,100,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,63,6/7/2024,63,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,65,6/14/2024,65,5/29/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,100,7/1/2024,100,6/15/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,32,7/1/2024,32,6/15/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,10,7/15/2024,10,6/15/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/7/2024,80,6/7/2024
