FG PN,PLANT,Work order code,,,,
500-5495-005,1000,F28,,,,
500-5495-007,1000,F28,,,,
500-5495-010,1000,F28,,,,
500-5495-015,1000,F28,,,,
500-5495-020,1000,F28,,,,
500-5495-025,1000,F28,,,,
500-5495-030,1000,F28,,,,
500-5499,1000,M51,,,,
500-5499,2000,M51,,,,
500-5500,1000,M53,,,,
500-5500,2000,M53,,,,
500-5508-005,1000,F28,,,,
500-5508-010,1000,F28,,,,
500-5522,1000,F29,,,,
500-5522,2000,F29,,,,
500-5523,1000,F35,,,,
500-5523,2000,F35,,,,
500-5529,1000,F31,,,,
500-5529,2000,F31,,,,
500-5530,1000,M51,,,,
500-5531,1000,M51,,,,
500-5531,2000,M51,,,,
500-5542,1000,M51,,,,
500-5542,2000,M51,,,,
500-5543,1000,M51,,,,
500-5543,2000,M51,,,,
500-5550,1000,F30,,,,
500-5550,2000,F30,,,,
500-5586,1000,F29,,,,
500-5586,2000,F29,,,,
500-5594,1000,F29,,,,
500-5594,2000,F29,,,,
500-5595,1000,F30,,,,
500-5595,2000,F30,,,,
500-5596,1000,F30,,,,
500-5596,2000,F30,,,,
500-5601,1000,F29,,,,
500-5601,2000,F29,,,,
500-5602,1000,F35,,,,
500-5603,1000,F33,,,,
500-5603,2000,F33,,,,
500-5604,1000,F35,,,,
500-5605,1000,F33,,,,
500-5610,1000,M51,,,,
500-5610,2000,M51,,,,
500-5614-001,1000,F28,,,,
500-5614-002,1000,F28,,,,
500-5614-003,1000,F28,,,,
500-5614-005,1000,F28,,,,
500-5614-007,1000,F28,,,,
500-5614-010,1000,F28,,,,
500-5614-015,1000,F28,,,,
500-5614-020,1000,F28,,,,
500-5614-025,1000,F28,,,,
500-5614-030,1000,F28,,,,
500-5615-001,1000,F28,,,,
500-5615-002,1000,F28,,,,
500-5615-003,1000,F28,,,,
500-5615-005,1000,F28,,,,
500-5615-007,1000,F28,,,,
500-5615-010,1000,F28,,,,
500-5615-015,1000,F28,,,,
500-5615-020,1000,F28,,,,
500-5615-025,1000,F28,,,,
500-5615-030,1000,F28,,,,
500-5633-003,1000,F28,,,,
500-5633-005,1000,F28,,,,
500-5633-007,1000,F28,,,,
500-5633-010,1000,F28,,,,
500-5633-020,1000,F28,,,,
500-5633-030,1000,F28,,,,
500-5634,1000,F29,,,,
500-5647,1000,F40,,,,
500-5647,2000,F40,,,,
500-5648,1000,F40,,,,
500-5648,2000,F40,,,,
500-5679,1000,M51,,,,
500-5679,2000,M51,,,,
500-5680,1000,M51,,,,
500-5680,2000,M51,,,,
500-5699,1000,M51,,,,
500-5702,1000,F29,,,,
500-5702,2000,F29,,,,
500-5703,1000,F29,,,,
500-5703,2000,F29,,,,
500-5708,1000,M51,,,,
500-5709,1000,M51,,,,
500-5709,2000,M51,,,,
500-5710,1000,M51,,,,
500-5710,2000,M51,,,,
500-5773,1000,F30,,,,
500-5773,2000,F30,,,,
500-5782,1000,F29,,,,
500-5785,1000,M51,,,,
500-5785,2000,M51,,,,
500-5786,1000,M51,,,,
500-5786,2000,M51,,,,
500-5800,1000,F37,,,,
500-5800,2000,F37,,,,
500-5818,1000,F29,,,,
500-5818,2000,F29,,,,
500-5819,1000,F31,,,,
500-5819,2000,F31,,,,
500-5850,1000,F29,,,,
500-5850,2000,F29,,,,
500-5851,1000,F29,,,,
500-5851,2000,F29,,,,
500-5854,1000,F30,,,,
500-5854,2000,F30,,,,
500-5909,1000,F40,,,,
500-5909,2000,F40,,,,
500-5910,1000,F40,,,,
500-5910,2000,F40,,,,
500-5934,1000,F29,,,,
500-5935,1000,F29,,,,
500-5957,1000,F29,,,,
500-5958,1000,F29,,,,
500-5958,2000,F29,,,,
500-5971,1000,M51,,,,
500-5971,2000,M51,,,,
500-5987,1000,F29,,,,
500-5987,2000,F29,,,,
500-5988,1000,F29,,,,
500-5988,2000,F29,,,,
500-5989,1000,F29,,,,
500-5989,2000,F29,,,,
500-5990,1000,F29,,,,
500-5990,2000,F29,,,,
500-6011,1000,F40,,,,
500-6011,2000,F40,,,,
500-6012,1000,F40,,,,
500-6012,2000,F40,,,,
500-6013,1000,F40,,,,
500-6013,2000,F40,,,,
500-6014,1000,F40,,,,
500-6014,2000,F40,,,,
500-6015,1000,F40,,,,
500-6015,2000,F40,,,,
500-6016,1000,F40,,,,
500-6016,2000,F40,,,,
500-6017,1000,F40,,,,
500-6017,2000,F40,,,,
500-6018,1000,F40,,,,
500-6018,2000,F40,,,,
500-6019,1000,F40,,,,
500-6019,2000,F40,,,,
500-6020,1000,F40,,,,
500-6020,2000,F40,,,,
500-6028,1000,F37,,,,
500-6028,2000,F37,,,,
500-6035,1000,F11,,,,
500-6035,2000,F11,,,,
500-6036,1000,F33,,,,
500-6037,1000,F33,,,,
500-6038,1000,F35,,,,
500-6039,1000,F35,,,,
500-6059,1000,F29,,,,
500-6059,2000,F29,,,,
500-6073,1000,M09,,,,
500-6073,2000,M09,,,,
500-6080,1000,F17,,,,
500-6085,1000,F40,,,,
500-6085,2000,F40,,,,
500-6086,1000,F40,,,,
500-6086,2000,F40,,,,
500-6087,1000,F33,,,,
500-6087,2000,F33,,,,
500-6095,1000,F38,,,,
500-6099,1000,F29,,,,
500-6099,2000,F29,,,,
500-6137,1000,M09,,,,
500-6137,2000,M09,,,,
500-6159-001,1000,G10,,,,
500-6159-002,1000,G10,,,,
500-6159-003,1000,G10,,,,
500-6159-005,1000,G10,,,,
500-6159-007,1000,G10,,,,
500-6159-010,1000,G10,,,,
500-6159-015,1000,G10,,,,
500-6159-020,1000,G10,,,,
500-6159-025,1000,G10,,,,
500-6159-030,1000,G10,,,,
500-6160,1000,F33,,,,
500-6160,2000,F33,,,,
500-6161,1000,F35,,,,
500-6161,2000,F35,,,,
500-6191,1000,F02,,,,
500-6200,1000,F30,,,,
