PN,Plant,Scrap
283-0110-29,2000,0.00
283-0110-31,1000,0.00
283-0110-31,2000,0.00
283-0110-33,1000,0.00
283-0110-33,2000,0.00
283-0111,1000,0.00
283-0111,2000,0.00
283-0116,1000,0.00
283-0116,2000,0.00
283-0118,1000,0.00
283-0118,2000,0.00
283-0120,1000,0.00
283-0120,2000,0.00
283-0122,1000,0.00
283-0122,2000,0.00
283-0124,1000,0.00
283-0124,2000,0.00
283-0128,1000,0.00
283-0128,2000,0.00
283-0130,1000,0.00
283-0130,2000,0.00
283-0146-N0,1000,0.00
283-0146-N0,2000,0.00
283-0146-N1,1000,0.00
283-0146-N1,2000,0.00
283-0146-N2,1000,0.00
283-0146-N2,2000,0.00
283-0146-N3,1000,0.00
283-0146-N3,2000,0.00
283-0167,1000,0.00
283-0171,1000,0.00
283-0171,2000,0.00
283-0204-27-CD,1000,0.00
283-0204-27-CD,2000,0.00
283-0204-29-CD,1000,0.00
283-0204-29-CD,2000,0.00
283-0204-31-CD,1000,0.00
283-0204-31-CD,2000,0.00
283-0204-33-CD,1000,0.00
283-0204-33-CD,2000,0.00
283-0212-27-CD,1000,0.00
283-0212-27-CD,2000,0.00
283-0212-29-CD,1000,0.00
283-0212-29-CD,2000,0.00
283-0212-31-CD,1000,0.00
283-0212-31-CD,2000,0.00
283-0212-33-CD,1000,0.00
283-0212-33-CD,2000,0.00
283-0226,1000,0.00
283-0226,2000,0.00
283-0261-CD,1000,0.00
283-0261-CD,2000,0.00
284-0001-20,1000,0.00
284-0001-20,2000,0.00
284-0001-35,1000,0.00
284-0001-35,2000,0.00
284-0001-40,1000,0.00
284-0001-40,2000,0.00
284-0014,1000,0.00
284-0014,2000,0.00
284-0051-20,1000,0.00
284-0051-20,2000,0.00
284-0051-35,1000,0.00
284-0051-35,2000,0.00
284-0051-40,1000,0.00
284-0051-40,2000,0.00
284-0054,1000,0.00
284-0054,2000,0.00
284-0084-20,1000,0.00
284-0084-20,2000,0.00
284-0085-20,1000,0.00
284-0085-20,2000,0.00
284-0085-40,1000,0.00
284-0085-40,2000,0.00
284-0086-20,1000,0.00
284-0086-20,2000,0.00
284-0089-20,1000,0.00
284-0089-20,2000,0.00
284-0089-40,1000,0.00
284-0089-40,2000,0.00
284-0089-50,1000,0.00
284-0089-50,2000,0.00
284-0106,1000,0.00
284-0106,2000,0.00
284-0118,1000,0.00
284-0118,2000,0.00
285-0012,1000,0.00
285-0012,2000,0.00
285-0015,1000,0.00
285-0015,2000,0.00
285-0020,1000,0.00
285-0020,2000,0.00
285-0109,1000,0.00
285-0109,2000,0.00
286-0010,1000,0.00
286-0010,2000,0.00
286-0018-20,1000,0.00
286-0018-20,2000,0.00
286-0018-35,1000,0.00
286-0018-35,2000,0.00
286-0057-20,1000,0.00
286-0057-20,2000,0.00
286-0057-40,1000,0.00
286-0057-40,2000,0.00
287-0003,1000,0.00
287-0003,2000,0.00
288-0001,1000,0.00
288-0001,2000,0.00
288-0005,1000,0.00
288-0005,2000,0.00
288-0134,1000,0.00
288-0134,2000,0.00
300-0121,1000,0.00
300-0121,2000,0.00
300-0122,1000,0.00
300-0122,2000,0.00
300-0140,1000,0.00
300-0140,2000,0.00
300-0141,1000,0.00
300-0141,2000,0.00
300-0141-R,1000,0.00
300-0141-R,2000,0.00
300-0144,1000,0.00
300-0144,2000,0.00
300-0145,1000,0.00
300-0145,2000,0.00
300-0150,1000,0.00
300-0150,2000,0.00
300-0150,5000,0.00
300-0151,1000,0.00
300-0151,2000,0.00
300-0151,5000,0.00
300-0151-RW,1000,0.00
300-0151-RW,2000,0.00
300-0152,1000,0.00
300-0152,2000,0.00
300-0152,5000,0.00
300-0168,1000,0.00
300-0168,2000,0.00
300-0168,5000,0.00
300-0169,1000,0.00
300-0169,2000,0.00
300-0169,5000,0.00
300-0179,1000,0.00
300-0179,2000,0.00
300-0180,1000,0.00
300-0180,2000,0.00
300-0180,5000,0.00
300-0195,1000,0.00
300-0195,2000,0.00
300-0195-R,1000,0.00
300-0195-R,2000,0.00
300-0198,1000,0.00
300-0198,2000,0.00
300-0211,1000,0.00
300-0211,2000,0.00
300-0212,1000,0.00
300-0212,2000,0.00
300-0213,1000,0.00
300-0213,2000,0.00
300-0214,1000,0.00
300-0214,2000,0.00
300-0311,1000,0.00
300-0311,2000,0.00
300-0312,1000,0.00
300-0312,2000,0.00
300-0313,1000,0.00
300-0313,2000,0.00
300-0316,1000,0.00
300-0316,2000,0.00
300-0316-R,1000,0.00
300-0316-R,2000,0.00
300-0317,1000,0.00
300-0317,2000,0.00
