Plant,PN,UnconstrainedQuantity
1000,500-4596-020,0
1000,500-4596-005,0
1000,500-5495-010,0
1000,500-5391-030,0
1000,500-5495-001,0
1000,500-5495-015,0
1000,500-5615-030,0
1000,500-5495-005,0
1000,500-5495-030,0
1000,500-5481,0
1000,500-5495-003,0
1000,500-5495-020,0
1000,500-5703,0
7000,561-0124,0
7000,561-0005,0
7000,561-0125,0
7000,561-0119,0
7000,561-0120,0
7000,561-0193,0
7000,561-0195,0
7000,500-5391-010,0
7000,500-5391-020,0
1000,504-1989,0
7000,500-5391-005,0
7000,500-5703,0
7000,500-5391-007,0
7000,500-5391-015,0
7000,500-5391-030,0
6000,561-0124,0
6000,561-0005,0
6000,561-0125,0
6000,561-0125,0
6000,561-0119,0
6000,561-0120,0
6000,561-0193,0
6000,561-0195,0
1000,500-5391-010,0
2000,504-1989,0
1000,100-0021,0
1000,100-0024,0
1000,100-0025,5475000.000
