PN,Plant,Process,Scrap
280-1524,1000,TX,1.30
280-1524,2000,TX,1.30
280-1530,1000,TX,1.30
280-1530,2000,TX,1.30
280-1531,1000,TX,1.30
280-1531,2000,TX,1.30
280-1532-27,1000,TX COC,6.69
280-1532-27,2000,TX COC,8.50
280-1532-29,1000,TX COC,6.69
280-1532-29,2000,TX COC,8.50
280-1532-31,1000,TX COC,6.69
280-1532-31,2000,TX COC,8.50
280-1532-33,1000,TX COC,6.69
280-1532-33,2000,TX COC,8.50
280-1575,1000,TX,1.30
280-1593,1000,TX,1.30
280-1593,2000,TX,1.30
280-1594,1000,RX,0.42
280-1594,2000,RX,0.42
280-1595,1000,Preform,0.00
280-1595,2000,Preform,0.00
280-1638,1000,CB,1.30
280-1638,2000,CB,1.30
280-1663,1000,CB,1.30
280-1663,2000,CB,1.60
280-1663-R,1000,CB,1.30
280-1663-R,2000,CB,1.60
280-1705,1000,TX,1.30
280-1705,2000,TX,1.30
280-1706,1000,TX,1.30
280-1706,2000,TX,1.30
280-1751-27-CD,1000,TX COC,8.00
280-1751-27-CD,2000,TX COC,8.00
280-1751-29-CD,1000,TX COC,6.00
280-1751-29-CD,2000,TX COC,6.00
280-1751-31-CD,1000,TX COC,7.00
280-1751-31-CD,2000,TX COC,7.00
280-1751-33-CD,1000,TX COC,7.50
280-1751-33-CD,2000,TX COC,7.50
280-1752-27-CD,1000,TX COC,7.00
280-1752-27-CD,2000,TX COC,7.00
280-1752-29-CD,1000,TX COC,6.50
280-1752-29-CD,2000,TX COC,6.50
280-1752-31-CD,1000,TX COC,7.00
280-1752-31-CD,2000,TX COC,7.00
280-1752-33-CD,1000,TX COC,8.50
280-1752-33-CD,2000,TX COC,8.50
280-1786,1000,CB,4.20
280-1786,2000,CB,2.50
280-1787,1000,Preform,0.00
280-1787,2000,Preform,0.00
280-1800,1000,CB,1.30
280-1800,2000,CB,1.29
280-1801,1000,CB,1.30
280-1801,2000,CB,1.29
280-1802,1000,CB,1.30
280-1802,2000,CB,1.30
280-1803,1000,CB,1.30
280-1803,2000,CB,1.29
280-1804,1000,CB,1.30
280-1804,2000,CB,1.30
280-1805,1000,CB,1.30
280-1805,2000,CB,1.29
280-1806,1000,CB,1.30
280-1806,2000,CB,1.60
280-1806-R,1000,CB,1.30
280-1806-R,2000,CB,1.30
280-1807,1000,CB,1.30
280-1807,2000,CB,1.30
280-1808,1000,CB,1.30
280-1808,2000,CB,1.29
280-1809,1000,CB,1.30
280-1809,2000,CB,1.29
280-1810,1000,CB,1.30
280-1810,2000,CB,1.29
280-1811,1000,CB,1.30
280-1811,2000,CB,1.60
280-1812,1000,CB,1.30
280-1812,2000,CB,1.29
280-1813,1000,CB,1.30
280-1813,2000,CB,1.29
280-1814,1000,CB,1.30
280-1814,2000,CB,1.29
280-1815,1000,CB,1.30
280-1815,2000,CB,1.29
280-1816,1000,CB,1.30
280-1816,2000,CB,1.29
280-1817,1000,CB,1.30
280-1817,2000,CB,1.29
280-1818,1000,CB,1.30
280-1818,2000,CB,1.30
280-1819,1000,CB,1.30
280-1819,2000,CB,1.30
280-1820,1000,CB,1.30
280-1820,2000,CB,1.30
280-1821,1000,CB,1.30
280-1821,2000,CB,1.30
280-1822,1000,CB,1.30
280-1822,2000,CB,1.30
280-1823,1000,CB,1.30
280-1823,2000,CB,1.30
280-1824,1000,CB,1.30
280-1824,2000,CB,1.30
280-1825,1000,CB,1.30
280-1825,2000,CB,1.30
280-1826,1000,CB,1.50
280-1826,2000,CB,1.30
280-1828-CD,1000,Preform,0.00
280-1828-CD,2000,Preform,0.00
280-1876-CD,1000,CB,2.70
280-1876-CD,2000,CB,2.70
280-1877-CD,1000,CB,2.70
280-1877-CD,2000,CB,2.70
280-1878,1000,CB,2.31
280-1878,2000,CB,3.20
280-1879,1000,Preform,2.31
280-1879,2000,Preform,3.20
280-1928,1000,CB,3.00
280-1928,2000,CB,3.00
280-1962-CD,1000,CB,2.70
280-1962-CD,2000,CB,2.70
280-1963-CD,1000,CB,2.70
280-1963-CD,2000,CB,2.70
280-1964-CD,1000,CB,2.70
280-1964-CD,2000,CB,2.70
280-1965-CD,1000,CB,2.70
280-1965-CD,2000,CB,2.70
280-1975-CD,1000,CB,4.00
280-1975-CD,2000,CB,4.00
280-1976-CD,1000,Preform,0.00
280-1976-CD,2000,Preform,0.00
280-2019-CD,1000,Preform,0.00
280-2019-CD,2000,Preform,0.00
280-2169,1000,CB,1.30
280-2169,2000,CB,1.29
283-0116,1000,,0.00
283-0116,2000,,0.00
283-0118,1000,,0.00
283-0118,2000,,0.00
283-0120,1000,,0.00
283-0120,2000,,0.00
283-0122,1000,,0.00
283-0122,2000,,0.00
283-0124,1000,,0.00
283-0124,2000,,0.00
283-0128,1000,,0.00
283-0128,2000,,0.00
283-0130,1000,,0.00
283-0130,2000,,0.00
313-0054,1000,SUP,0.00
313-0054,2000,SUP,0.00
313-0054,5000,SUP,0.00
313-0083,1000,SUP,0.00
313-0083,2000,SUP,0.00
313-0083,5000,SUP,0.00
500-3301,1000,Module,6.25
500-3301,2000,Module,0.00
500-3378,1000,Module,6.23
500-3378,2000,Module,0.00
500-3394,1000,Module,7.34
500-3394,2000,Module,7.34
500-3394-05,1000,Module,10.00
500-3394-05,2000,Module,0.00
500-3418,1000,Module,0.00
500-3418,2000,Module,0.00
500-3490,1000,Module,7.34
500-3490,2000,Module,0.00
500-3532,1000,Module,6.23
500-3532,2000,Module,0.00
500-3621,1000,Module,6.64
500-3621,2000,Module,0.00
500-3633,1000,Module,7.34
500-3633,2000,Module,0.00
500-3633-01,1000,Module,8.42
500-3633-01,2000,Module,0.00
500-3633-04,1000,Module,10.00
500-3633-04,2000,Module,0.00
500-3644,1000,Module,7.34
500-3644,2000,Module,0.00
500-3662,1000,Module,0.00
500-3662,2000,Module,0.00
500-3674,1000,Module,5.66
500-3674,2000,Module,0.00
500-3695,1000,Module,10.00
500-3695,2000,Module,0.00
500-3712,1000,Module,7.34
500-3712,2000,Module,0.00
500-3717,1000,Module,10.00
500-3717,2000,Module,0.00
500-3743,1000,Module,6.36
500-3743,2000,Module,0.00
500-3744,1000,Module,6.36
500-3744,2000,Module,0.00
500-3776-01,1000,Module,7.20
500-3776-01,2000,Module,0.00
500-3776-02,1000,Module,10.00
500-3776-02,2000,Module,12.00
500-3776-02-RW,1000,Module,5.66
500-3776-03,1000,Module,10.00
500-3776-03,2000,Module,0.00
500-3776-04,1000,Module,10.00
500-3776-04,2000,Module,0.00
500-3776-05,1000,Module,11.80
500-3776-05,2000,Module,12.00
500-3800,1000,Module,20.00
500-3800,2000,Module,0.00
500-3806,1000,Module,11.73
500-3806,2000,Module,12.00
500-3811-02,1000,Module,8.76
500-3811-02,2000,Module,0.00
500-3811-03,1000,Module,8.76
500-3811-03,2000,Module,0.00
500-3811-04,1000,Module,8.76
500-3811-04,2000,Module,0.00
500-3815,1000,Module,11.73
500-3815,2000,Module,0.00
500-3816,1000,Module,11.73
500-3816,2000,Module,0.00
500-3817,1000,Module,7.34
500-3817,2000,Module,0.00
500-3817-01,1000,Module,8.42
500-3817-01,2000,Module,0.00
500-3817-04,1000,Module,10.00
500-3817-04,2000,Module,0.00
500-3820,1000,Module,7.34
500-3820,2000,Module,0.00
500-3820-04,1000,Module,10.00
500-3820-04,2000,Module,0.00
500-3822,1000,Module,7.20
500-3822,2000,Module,0.00
500-3823,1000,Module,7.20
500-3823,2000,Module,0.00
500-3827,1000,Module,7.20
500-3827,2000,Module,0.00
500-3848,1000,Module,11.19
500-3848,2000,Module,0.00
500-3853-01,1000,Module,8.00
500-3853-01,2000,Module,0.00
500-3853-02,1000,Module,10.00
500-3853-02,2000,Module,0.00
500-3853-03,1000,Module,10.00
500-3853-03,2000,Module,0.00
500-3853-04,1000,Module,10.00
500-3853-04,2000,Module,0.00
500-3854-01,1000,Module,5.66
500-3854-01,2000,Module,0.00
500-3854-02,1000,Module,5.66
500-3854-02,2000,Module,0.00
500-3901-01,1000,Module,7.20
500-3901-01,2000,Module,0.00
500-3901-02,1000,Module,7.20
500-3901-02,2000,Module,0.00
500-3913,1000,Module,8.30
500-3913,2000,Module,0.00
500-3913-02,1000,Module,8.58
500-3913-02,2000,Module,0.00
500-3913-03,1000,Module,6.04
500-3913-03,2000,Module,0.00
500-3916,1000,Module,8.30
500-3916,2000,Module,0.00
500-3917,1000,Module,10.00
500-3917,2000,Module,0.00
500-3918,1000,Module,18.00
500-3918,2000,Module,17.00
500-3922,1000,Module,7.34
500-3922,2000,Module,0.00
500-3925,1000,Module,7.20
500-3925,2000,Module,0.00
500-3925-02,1000,Module,10.00
500-3925-02,2000,Module,10.00
500-3926,1000,Module,8.00
500-3926,2000,Module,0.00
500-3927,1000,Module,7.20
500-3927,2000,Module,0.00
500-3927-02,1000,Module,7.20
500-3927-02,2000,Module,0.00
500-3928,1000,Module,8.00
500-3928,2000,Module,0.00
500-3940,1000,Module,11.19
500-3940,2000,Module,0.00
500-3941,1000,Module,11.19
500-3941,2000,Module,0.00
500-3943,1000,Module,8.30
500-3943,2000,Module,0.00
500-3953-02,1000,Module,10.00
500-3953-02,2000,Module,0.00
500-3953-06,1000,Module,12.00
500-3953-06,2000,Module,12.00
500-3953-06-TW,1000,Module,0.00
500-3954-01,1000,Module,8.00
500-3954-01,2000,Module,0.00
500-3954-02,1000,Module,10.00
500-3954-02,2000,Module,0.00
500-3954-03,1000,Module,10.00
500-3954-03,2000,Module,0.00
500-3954-05,1000,Module,10.00
500-3954-05,2000,Module,8.51
500-3954-06,1000,Module,12.00
500-3954-06,2000,Module,12.00
500-3956,1000,Module,8.30
500-3956,2000,Module,0.00
500-3971-02,1000,Module,10.00
500-3971-02,2000,Module,0.00
500-3972-01,1000,Module,7.20
500-3972-01,2000,Module,0.00
500-3972-02,1000,Module,10.00
500-3972-02,2000,Module,10.00
500-3984,1000,Module,11.19
500-3984,2000,Module,0.00
500-3986-01,1000,Module,8.30
500-3986-01,2000,Module,0.00
500-3987-01,1000,Module,8.00
500-3987-01,2000,Module,0.00
500-3987-02,1000,Module,10.00
500-3987-02,2000,Module,0.00
500-3987-03,1000,Module,10.00
500-3987-03,2000,Module,0.00
500-3987-04,1000,Module,10.00
500-3987-04,2000,Module,0.00
500-3997,1000,Module,0.00
500-3997,2000,Module,0.00
500-3998,1000,Module,11.19
500-3998,2000,Module,0.00
500-4001,1000,Module,11.19
500-4001,2000,Module,0.00
500-4008,1000,Module,8.30
500-4008,2000,Module,0.00
500-4011-01,1000,Module,7.20
500-4011-01,2000,Module,0.00
500-4012-01,1000,Module,7.20
500-4012-01,2000,Module,0.00
500-4013-01,1000,Module,7.26
500-4013-01,2000,Module,0.00
500-4014-01,1000,Module,7.26
500-4014-01,2000,Module,0.00
500-4021,1000,Module,11.19
500-4021,2000,Module,0.00
500-4022-02,1000,Module,10.00
500-4022-02,2000,Module,0.00
500-4023-01,1000,Module,7.20
500-4023-01,2000,Module,0.00
500-4023-02,1000,Module,10.00
500-4023-02,2000,Module,12.00
500-4028-01,1000,Module,11.79
500-4028-01,2000,Module,6.25
500-4028-02,1000,Module,15.00
