Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
1000,,3/21/24,4500079866,10,280-0981-N1,6010,1200,1200,chip (0-75 deg C),PC,A14,0,283P7296,200080, PHOTONTECK COMPANY LIMITED
1000,,3/6/24,4500078546,10,313-0059,6010,1200,1200,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,12/26/23,4500072698,10,310-0485,6010,3100,1230,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
5000,,9/27/23,4500066700,10,313-0039,6010,1840,1261,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,2/6/24,4500076295,10,504-1718,6010,6600,1299,"PCBA BOM,100G QSFP28 SR4 lowcost",PC,A22,3,504P5071,100297, 无锡索米科技有限公司
1000,,3/6/24,4500078545,20,313-0068,6010,1360,1360,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,3/12/24,4500079043,10,160-1172,6010,1500,1500,PCB with M37244,PC,A02,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
1000,,3/6/24,4500078494,10,160-1172,6010,1500,1500,PCB with M37244,PC,A02,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
5000,,2/1/24,4500075877,20,313-0043,6010,1500,1500,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,200177, Shanghai Jiahu Industrial Co.;Ltd
1000,,1/29/24,4500075638,10,310-0485,6010,1560,1560,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
5000,,3/7/24,4500078642,10,313-0043,6010,1582,1582,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,200177, Shanghai Jiahu Industrial Co.;Ltd
5000,,2/1/24,4500075877,10,313-0043,6010,1590,1590,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,200177, Shanghai Jiahu Industrial Co.;Ltd
1000,,1/24/24,4900010882,10,280-0701,VM01,1600,1600,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100073, 苏州伽蓝致远电子科技股份有限公司
1000,,12/23/22,4500053873,10,310-0401,6010,30000,1600,"Dust cover EPDM,Duplex LC,Black",PC,A16,0,312P93D8,100367, 江苏明科精密橡塑科技有限公司
1000,,1/9/24,4500073746,30,350-0229,6010,3000,1650,"Tray,215x205x18.5mm,8pcs,Pack",PC,A16,0,350P97E4,100187, 苏州安隆塑业有限公司
5000,,10/24/23,4500068159,20,313-0039,6010,1650,1650,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,3/6/24,4500078547,10,310-0485,6010,1655,1655,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
