PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
300-0180,1C,100102,1000,20,2023.01.01,2023.12.31,56,
300-0180,1C,100189,1000,80,2023.01.01,2023.12.31,56,
300-0211,1B,100102,1000,100,2023.01.01,2023.12.31,56,
300-0212,1A,100102,1000,100,2023.01.01,2023.12.31,56,
300-0311,1C,100102,1000,30,2023.01.01,2023.12.31,56,
300-0311,1C,100189,1000,70,2023.01.01,2023.12.31,56,
300-0312,1A,100102,1000,30,2023.01.01,2023.12.31,56,
300-0312,1A,100189,1000,70,2023.01.01,2023.12.31,56,
300-0313,1B,100102,1000,30,2023.01.01,2023.12.31,56,
300-0313,1B,100189,1000,70,2023.01.01,2023.12.31,56,
301-0016,1B,100336,1000,100,2023.01.07,2023.12.31,56,
301-0022,1B,100102,1000,100,2023.01.01,2023.12.31,56,
302-0004,1B,100170,1000,100,2023.01.01,2023.12.31,41,
302-0007,1B,100170,1000,100,2023.01.01,2023.12.31,41,
310-0251,1A,100196,1000,100,2023.01.01,2023.12.31,47,
310-0295,1A,100078,1000,100,2023.01.11,2023.12.31,36,
310-0401,1C,100206,1000,70,2023.01.01,2023.12.31,40,
310-0401,1C,100367,1000,30,2023.01.01,2023.12.31,40,
310-0407,1B,100102,1000,30,2023.01.01,2023.12.31,14,
310-0407,1B,100189,1000,70,2023.01.01,2023.12.31,14,
310-0490,1A,100078,1000,100,2023.01.02,2023.12.31,34,
310-0504,1A,100102,1000,40,2023.01.01,2023.12.31,55,
310-0504,1A,100189,1000,60,2023.01.01,2023.12.31,55,
310-0560,1A,100102,1000,100,2023.01.11,2023.12.31,55,
310-0571,1B,100102,1000,100,2023.01.01,2023.12.31,54,
310-0573,1A,100102,1000,100,2023.01.01,2023.12.31,55,
310-0574,1A,100102,1000,100,2023.01.11,2023.12.31,55,
310-0577,1A,100102,1000,20,2023.01.11,2023.12.31,55,
310-0577,1A,100189,1000,80,2023.01.11,2023.12.31,55,
310-0724,1A,100102,1000,100,2023.01.11,2023.12.31,54,
311-0260,1A,100078,1000,100,2023.01.02,2023.12.31,31,
311-0276,1A,100078,1000,100,2023.01.11,2023.12.31,11,
311-0436,1A,100078,1000,100,2023.05.10,2023.06.24,31,
311-0437,1A,100078,1000,100,2023.01.02,2023.12.31,31,
320-0284,1A,100102,1000,100,2023.01.01,2023.12.31,39,
