版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,310-0147,,1000,7016,,,5688.481
,,310-0147,,2000,7016,,,45924.791
,,310-0147,,5000,7016,,,3931.225
,,310-0166,,1000,5016,,,2460.000
,,310-0166,,1000,7010,,,5591.000
,,310-0166,,2000,5016,,,359.000
,,310-0167,,1000,9023,,,29066.000
,,310-0228,,1000,5016,,,380.000
,,310-0228,,1000,6010,,,989.000
,,310-0229,,1000,5016,,,380.000
,,310-0229,,1000,6010,,,1113.000
,,310-0234,,2000,7016,,,330.000
,,310-0238,,1000,7016,,,2254.311
,,310-0238,,2000,7016,,,943.416
,,310-0238,,5000,7016,,,224.474
,,310-0241,,1000,5016,,,444.000
,,310-0241,,1000,6010,,,66683.000
,,310-0251,,1000,5016,,,158.000
,,310-0282,,1000,7016,,,257.321
,,310-0282,,2000,7016,,,137.140
,,310-0284,,1000,7016,,,5737.383
,,310-0284,,2000,7016,,,2334.632
,,310-0284,,5000,7016,,,378.510
,,310-0295,,1000,5016,,,314.000
,,310-0300,,1000,5016,,,17519.000
,,310-0300,,1000,6010,,,57.000
,,310-0300,,1000,9023,,,94000.000
,,310-0357,,1000,6010,,,459.000
,,310-0357,,2000,3028,,,2548.000
,,310-0357,,2000,6010,,,2.000
,,310-0362,,1000,5016,,,2109.000
,,310-0368,,1000,7016,,,3323.434
,,310-0368,,2000,7016,,,6582.950
,,310-0368,,5000,7016,,,536.645
,,310-0369,,1000,9023,,,24310.000
,,310-0369,,2000,5016,,,5754.000
,,310-0369,,2000,6010,,,7960.000
,,310-0370,,1000,5016,,,1585.000
,,310-0370,,1000,9023,,,19000.000
,,310-0370,,2000,5016,,,4251.000
,,310-0370,,2000,9023,,,195157.000
,,310-0376,,1000,5016,,,6992.000
,,310-0376,,2000,5016,,,161.000
,,310-0395,,1000,7016,,,8638.493
,,310-0395,,2000,7016,,,402.000
,,310-0395,,5000,7016,,,2007.558
,,310-0401,,1000,6010,,,30000.000
,,310-0401,,2000,2016,,,6700.000
,,310-0401,,2000,5016,,,8064.000
,,310-0401,,2000,6010,,,63000.000
,,310-0401,,5000,5016,,,4881.000
,,310-0401,,5000,6010,,,74195.000
,,310-0405,,2000,5016,,,210.000
,,310-0414-01,,1000,7016,,,6377.678
,,310-0414-01,,2000,7016,,,465.790
,,310-0414-01,,5000,7016,,,161.295
,,310-0417,,1000,6010,,,1513.000
,,310-0417,,1000,7010,,,1000.000
,,310-0417,,2000,5016,,,7000.000
,,310-0418,,1000,7016,,,1792.380
,,310-0440,,1000,5016,,,2488.000
,,310-0440,,1000,6010,,,17301.000
,,310-0440,,2000,5016,,,4054.000
,,310-0440,,2000,6010,,,7015.000
,,310-0474,,1000,5016,,,2788.000
,,310-0474,,1000,6010,,,400.000
,,310-0485,,1000,7016,,,58304.606
,,310-0485,,2000,7016,,,39241.836
,,310-0485,,5000,5016,,,45.000
,,310-0485,,5000,7016,,,95515.358
,,310-0490,,2000,5016,,,1724.000
,,310-0494-001,,1000,6010,,,114.000
,,310-0494-001,,2000,6010,,,333.000
,,310-0494-003,,1000,6010,,,10.000
,,310-0494-015,,1000,6010,,,1622.000
,,310-0504,,1000,6010,,,5999.000
,,310-0504,,2000,6010,,,13457.000
