PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
280-1071-33,1000,ROUTE_COP_PCBA-Home,1,0,BOM_280-1071-33,-,-,-,-,-,-,1,-,-,-
280-0750-33,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_280-0750-33,-,-,-,-,-,-,1,-,-,-
280-1070,1000,ROUTE_COP_PCBA-Home,1,0,BOM_280-1070,-,-,-,-,-,-,1,-,-,-
504-1366,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1366,-,-,-,-,-,-,1,-,-,-
280-1067,1000,ROUTE_COP_Preform,1,0,BOM_280-1067,-,-,-,-,-,-,1,-,-,-
280-0440,1000,ROUTE_COP_Preform,1,0,BOM_280-0440,-,-,-,-,-,-,1,-,-,-
280-0558,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0558,-,-,-,-,-,-,1,-,-,-
280-0996,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0996,-,-,-,-,-,-,1,-,-,-
500-3674,1000,ROUTE_COP_Module,1,0,BOM_500-3674,-,-,-,-,-,-,1,-,-,-
502-1749,1000,ROUTE_dummy,1,0,BOM_502-1749,-,-,-,-,-,-,1,-,-,-
260-0135,1000,ROUTE_COP_OB,1,0,BOM_260-0135,-,-,-,-,-,-,1,-,-,-
280-1091,1000,ROUTE_COP_CB,1,0,BOM_280-1091,-,-,-,-,-,-,1,-,-,-
280-0810,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0810,-,-,-,-,-,-,1,-,-,-
280-1090,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1090,-,-,-,-,-,-,1,-,-,-
280-1054-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1054-27,-,-,-,-,-,-,1,-,-,-
280-1054-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1054-29,-,-,-,-,-,-,1,-,-,-
280-1054-31,1000,ROUTE_COP_PCBA-Home,1,0,BOM_280-1054-31,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-1054-31_A2,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_280-1054-31_A2,-,-,-,-,-,-,1,-,-,-
280-0293-31,SUB_PCBA,ROUTE_dummy,1,0,BOM_280-0293-31,-,-,-,-,-,-,1,-,-,-
